folio_cot,nombre_cot,fecha_cot,fecha_registro_cot,id_cliente,nombre_cliente,razon_social_cliente,direccion_cliente,nombre_contacto,telefono_contacto,alcance_cot,nombre_item,descripcion_item,imagen_item,unidad_item,cantidad_item,precio_unitario_item,importe_item,subtotal,iva,total,terminos
COT-COPHI-105-10 -25,Gestión y Asesoría en Materia Hidráulica,18/12/2025,18/12/2025,TANDRA-3040106,TANDRA B-CLUSTER,,"Bulevar Municipio Libre, 1933, 201. Ex Hacienda Mayorazgo Heroica Puebla de Zaragoza / Puebla.",Pedro Sánchez,2223559752,,Gestión y asesoría en materia hidraúlica,"Gestión integral ante Agua de Puebla y SOAPAP para obtención de permiso de descarga. Incluye diagnóstico hidráulico, inspección de infraestructura, análisis técnico de contaminantes, planeación de muestreos de laboratorio y capacitación normativa para optimizar el recurso y asegurar pagos justos.",,Servicio,1 mensual,4000,4000,4000,640,4640,
COT-COPHI-119-12-25,Mantenimiento correctivo de instalaciones hidráulicas y sanitarias.,23/12/2025,23/12/2025,,Harbors Marsala,,"Atlixcáyotl 3246, Residencial San Martinito, 72197 Heroica Puebla de Zaragoza, Pue.",Lic. Carlos Campos,,"OBJETIVO: Reparar fugas para optimizar consumo.
• DIAGNÓSTICO: Identificación de goteos y filtraciones en red visible.
• GRIFERÍA: Cambio de empaques, cartuchos y sellado en lavabos y tarjas.
• SANITARIOS: Identificación y sellado de fugas en tanques y herrajes.
• TUBERÍAS: Reparación de conexiones, mangueras y llaves de paso.",Reparación de Fugas y Sellado de Red,"Corrección de goteos y filtraciones en muebles sanitarios, tarjas de lavado y tuberías de alimentación. Incluye ajuste de válvulas, sustitución de sellos dañados y mantenimiento preventivo a herrajes para eliminar el desperdicio de agua.",,Servicio,11,350,3850,5950,952,6902,
COT-COPHI-119-12-25,Mantenimiento correctivo de instalaciones hidráulicas y sanitarias.,23/12/2025,23/12/2025,,Harbors Marsala,,"Atlixcáyotl 3246, Residencial San Martinito, 72197 Heroica Puebla de Zaragoza, Pue.",Lic. Carlos Campos,,"OBJETIVO: Reparar fugas para optimizar consumo.
• DIAGNÓSTICO: Identificación de goteos y filtraciones en red visible.
• GRIFERÍA: Cambio de empaques, cartuchos y sellado en lavabos y tarjas.
• SANITARIOS: Identificación y sellado de fugas en tanques y herrajes.
• TUBERÍAS: Reparación de conexiones, mangueras y llaves de paso.",Revisión de instalaciones ,"Inspección técnica integral de la red hidráulica y sanitaria para identificar fugas no visibles, goteos en grifería, fallas en mecanismos de descarga de sanitarios y estado de conexiones de alimentación.",,Servicio,1,2100,2100,5950,952,6902,Cualquier reparación adicional no contemplada en este alcance será cotizada por separado y sujeta a autorización del cliente.
COT-COPHI-120,Mantenimiento correctivo de instalaciones hidráulicas y sanitarias.,05/01/2026,05/01/2026,,Harbors Marsala,,"Atlixcáyotl 3246, Residencial San Martinito, 72197 Heroica Puebla de Zaragoza, Pue.",Lic. Carlos Campos,,"Instalación de Mezcladora: Instalación física de una mezcladora en el baño de servicio
Monitoreo de Presión: * Medición de presión en las tomas de agua y medidores de agua
Verificación de la distribución de volúmenes de agua en los puntos de salida.",Mezcladora para lavabo,Grifería de control dual (agua fría y caliente) fabricada en cuerpo de latón con acabado cromado de alta resistencia.,mezcladora_lavabo.png,Pieza,1,400,400,2550,408,2958,
COT-COPHI-120,Mantenimiento correctivo de instalaciones hidráulicas y sanitarias.,05/01/2026,05/01/2026,,Harbors Marsala,,"Atlixcáyotl 3246, Residencial San Martinito, 72197 Heroica Puebla de Zaragoza, Pue.",Lic. Carlos Campos,,,Instalación de equipo ,"Instalación técnica, conexión a servicios y verificación de funcionamiento operativo.",,Servicio,1,350,350,2550,408,2958,
COT-COPHI-120,Mantenimiento correctivo de instalaciones hidráulicas y sanitarias.,05/01/2026,05/01/2026,,Harbors Marsala,,"Atlixcáyotl 3246, Residencial San Martinito, 72197 Heroica Puebla de Zaragoza, Pue.",Lic. Carlos Campos,,,Inspección y Diagnóstico Técnico,"Monitoreo de Presión: Revisión y comprobación de la presión en las tomas de agua.
Análisis de Flujo Volumétrico y Caudal: Verificación de la distribución y los volúmenes de agua en el sistema.",,Servicio,1,1800,1800,2550,408,2958,
COT-COPHI-128,,08/01/2026,08/01/2026,CLI-GENERICO,Operadora KFC SUCURSAL DORADA,,"Blvd. Héroes del 5 de Mayo 102, Huexotitla, 72530 Heroica Puebla de Zaragoza, Pue.",Dania Espinoza ,,,"Medidor de agua 3/4"" con antena ","Medidor de agua potable de 3/4"", fabricado en cuerpo de hierro. Transmite los datos de consumo de forma remota.",,pieza,1,3621,3621,5921.09,947.37,6868.46,se requiere el 50% de anticipo 
COT-COPHI-128,,08/01/2026,08/01/2026,CLI-GENERICO,Operadora KFC SUCURSAL DORADA,,"Blvd. Héroes del 5 de Mayo 102, Huexotitla, 72530 Heroica Puebla de Zaragoza, Pue.",Dania Espinoza ,,,Suministro e instalación ,"Instalación de medidor de agua de 3/4""",,servicio,1,1800,1800,5921.09,947.37,6868.46,se requiere el 50% de anticipo 
COT-COPHI-128,,08/01/2026,08/01/2026,CLI-GENERICO,Operadora KFC SUCURSAL DORADA,,"Blvd. Héroes del 5 de Mayo 102, Huexotitla, 72530 Heroica Puebla de Zaragoza, Pue.",Dania Espinoza ,,,Válvula expulsora de aire ,"Válvula Expulsora para Purga de Aire en Latón 3/4"". Presión máxima de trabajo: 999Kpa/145 PSI.",,pieza,1,500.09,500.09,5921.09,947.37,6868.46,se requiere el 50% de anticipo 
COT-COPHI-129,,19/01/2026,19/01/2026,CLI-GENERICO,KFC MARGARITAS,,"Av. San Baltazar 3230-Local C2, Centro Comercial Bodega Aurrera, Col. Unidad Guadalupe, 72560 Heroica Puebla de Zaragoza, Pue.",C.P. Leticia Medina,,"Se realizará la clausura de una bajada del registro principal, la construcción de dos registros de concreto, la instalación de tubería sanitaria en PVC de 4"" y la habilitación de una línea externa",clausura de bajada de registro principal,,,Servicio,1,1500,1500,27400,4384,31784,"Pago: 80% de anticipo para iniciar, 20% restante al entregar los trabajos.
Horario: Trabajos nocturnos entre 10:00 p.m. y 6:00 a.m.
Duración: 4 días de ejecución.
Incluye: Todos los materiales y mano de obra necesarios."
