Plaza,Nombre,Local,fecha_lectura,lectura
plaza kentro,"HSBC MEXICO S,A, DE C,V,",1,29/08/2025,147.39
plaza kentro,"HSBC MEXICO S,A, DE C,V,",2,29/08/2025,2441.01
plaza kentro,GP GASTRONIMICA PREMIUM SA DE CV,3,29/08/2025,238.63
plaza kentro,FARMACOS ESPECIALIZADOS SA DECV,4,29/08/2025,276.56
plaza kentro,COMERCIALIZADORA PERSIANAS GABIN SA DE CV,5,29/08/2025,86.66
plaza kentro,ARRENDADORA SHEL HA SA DE CV,6,29/08/2025,238.1
plaza kentro,SUMINISTROS TACTICOS,7,29/08/2025,2
plaza kentro,MANUEL GERRA BELLEGO,8,29/08/2025,75.86
plaza kentro,SANTANDER MEXICO S.A. DE C.V,11,29/08/2025,674.61
plaza kentro,UNIFORMES MEDICOS,13,29/08/2025,97.94
plaza kentro,DULCE HABITO,14,29/08/2025,241.15
plaza kentro,Z&B CASH CENTRO CAMBIARIO,16,29/08/2025,156.92
plaza kentro,DSP ESPECIALISTAS,17,29/08/2025,7.37
plaza kentro,BBVA BANCOMER S.A.,18,29/08/2025,469.65
plaza kentro,TOMA CERRADA,19,29/08/2025,0.08
plaza kentro,TOMA CERRADA,20,29/08/2025,0.07
plaza kentro,GRUPO ALLEGUE,22,29/08/2025,301.43
plaza kentro,GRUPO ALLEGUE,23,29/08/2025,0.16
plaza kentro,GRUPO ALLEGUE,24,29/08/2025,271.32
plaza kentro,BUFALO WILD WINS,104,29/08/2025,235.76
plaza kentro,LABORATORIO,105,29/08/2025,131.09
plaza kentro,FAJAS COLOMBIANAS,106,29/08/2025,101.1
plaza kentro,MUSICAL FAMA,107,29/08/2025,52.58
plaza kentro,MONZANI,108,29/08/2025,247.84
plaza kentro,INMOBILIARIA JPAZ,109,29/08/2025,31.41
plaza kentro,GRUPO PEDIATRICO DE PUEBLA SC,110,29/08/2025,48.42
plaza kentro,IDEAS EKA,111,29/08/2025,36.49
plaza kentro,LUIS MANUEL ORTIZ,112,29/08/2025,325.01
plaza kentro,,113,29/08/2025,7.67
plaza kentro,COSMETICOS,114,29/08/2025,48.94
plaza kentro,KEIKO KATAGIRI KATAGIRI,115,29/08/2025,41.47
plaza kentro,ELECTRONICA,116,29/08/2025,29.68
plaza kentro,EMI LEE,117,29/08/2025,493.82
plaza kentro,ESTETICA VIA 33,118,29/08/2025,1832.83
plaza kentro,ESTETICA VIA 33,119,29/08/2025,18.78
plaza kentro,JERICO AVALOS GRANIEL,120,29/08/2025,12.37
plaza kentro,GRACIELA MARQUEZ SANTAMARIA,122,29/08/2025,93.11
plaza kentro,OFICINA DE VENTAS,123,29/08/2025,102.34
plaza kentro,,125,29/08/2025,0.27
plaza kentro,LUIS JORGE GALAN,129,29/08/2025,33.8
plaza kentro,SPA INFANTIL,209,29/08/2025,197.53
plaza kentro,BARBERIA,210,29/08/2025,18.8
plaza kentro,ALBERTO ESCOBAR,211,29/08/2025,762.65
plaza kentro,FELIPE PALACIOS,212,29/08/2025,2.8
plaza kentro,,213,29/08/2025,3.62
plaza kentro,MARIA FERNANDA GARCIA OLIVARES,214,29/08/2025,103.04
plaza kentro,SUNPOWER CAPITAL SAP SA DE CV,215,29/08/2025,18.52
plaza kentro,DENTISTA,216,29/08/2025,9.9
plaza kentro,KARIME CALDERAS,217,29/08/2025,59.11
plaza kentro,JOSE LUIS OCTAVIO BELLO,218,29/08/2025,8.48
plaza kentro,GRETHA DANIELLA NIETO GARCIA,219,29/08/2025,63.46
plaza kentro,ESFERA MAGICA,220,29/08/2025,0
plaza kentro,ESFERA MAGICA,221,29/08/2025,17.7
plaza kentro,MARIA JOSE PICAZO CALATALLUD,222,29/08/2025,15.25
plaza kentro,,224,29/08/2025,100.05
plaza kentro,,227,29/08/2025,6.26
plaza kentro,LUIS RENE SALAZAR MORENO,230,29/08/2025,12.6
plaza kentro,MERINO JIMENEZ COMPAÑÍA CAFETALERA SA DE CV,302,29/08/2025,58.6
plaza kentro,MARIA EUGENIA HERNANDEZ DOMINGUEZ,303,29/08/2025,116.92
plaza kentro,JOSE ERNESTO MAZANTLE CRUZ,304,29/08/2025,15.54
plaza kentro,JAIME ACCO GIMNASIO,308,29/08/2025,0
plaza kentro,JAIME ACCO GIMNASIO,309,29/08/2025,2353.01
plaza kentro,ARQUITECTOS,310,29/08/2025,278.6
plaza kentro,EDGAR SOSA,311,29/08/2025,183.88
plaza kentro,CINTHIA BERNI MELO,312,29/08/2025,104.87
plaza kentro,GALINDO,314,29/08/2025,94.98
plaza kentro,GALINDO,313,29/08/2025,2.79
plaza kentro,EUGENIO GALINDO,315,29/08/2025,131.72
plaza kentro,MARIA GUADALUPE CAMPOS,316,29/08/2025,104.98
plaza kentro,MARIA INES WILLIAMS,318,29/08/2025,33.52
plaza kentro,,319,29/08/2025,93.3
plaza kentro,BEATRIZ ALEJANDRA REMES,320,29/08/2025,8.59
plaza kentro,GIRONA ANDROLIGIC,321,29/08/2025,49.83
plaza kentro,SPA UÑAS,322,29/08/2025,255.12
plaza kentro,OPERADORA REDUCE NUTRICION DAY SPA SCHIEDECK SA CV,323,29/08/2025,821.32
plaza kentro,ARMANDO UROIEL GARCIA,324,29/08/2025,26.01
plaza kentro,ALBERTO RODRIGUEZ,325,29/08/2025,536.08
plaza kentro,JUAN MANUEL BAEZ,327,29/08/2025,
plaza kentro,RISE UP STUDIO SA DE CV,326,29/08/2025,275.19
plaza kentro,BAÑOS,401,29/08/2025,816.51
plaza kentro,"HSBC MEXICO S,A, DE C,V,",1,29/09/2025,149.9
plaza kentro,"HSBC MEXICO S,A, DE C,V,",2,29/09/2025,2535.67
plaza kentro,GP GASTRONIMICA PREMIUM SA DE CV,3,29/09/2025,241.04
plaza kentro,FARMACOS ESPECIALIZADOS SA DECV,4,29/09/2025,280.07
plaza kentro,COMERCIALIZADORA PERSIANAS GABIN SA DE CV,5,29/09/2025,88.08
plaza kentro,ARRENDADORA SHEL HA SA DE CV,6,29/09/2025,238.83
plaza kentro,SUMINISTROS TACTICOS,7,29/09/2025,2.14
plaza kentro,MANUEL GERRA BELLEGO,8,29/09/2025,76.21
plaza kentro,SANTANDER MEXICO S.A. DE C.V,11,29/09/2025,707.32
plaza kentro,UNIFORMES MEDICOS,13,29/09/2025,100.46
plaza kentro,DULCE HABITO,14,29/09/2025,247.2
plaza kentro,Z&B CASH CENTRO CAMBIARIO,16,29/09/2025,162.19
plaza kentro,DSP ESPECIALISTAS,17,29/09/2025,14.74
plaza kentro,BBVA BANCOMER S.A.,18,29/09/2025,476.18
plaza kentro,TOMA CERRADA,19,29/09/2025,0
plaza kentro,TOMA CERRADA,20,29/09/2025,0
plaza kentro,GRUPO ALLEGUE,22,29/09/2025,441.42
plaza kentro,GRUPO ALLEGUE,23,29/09/2025,0.16
plaza kentro,GRUPO ALLEGUE,24,29/09/2025,397.36
plaza kentro,BUFALO WILD WINS,104,29/09/2025,477.39
plaza kentro,LABORATORIO,105,29/09/2025,131.86
plaza kentro,FAJAS COLOMBIANAS,106,29/09/2025,101.82
plaza kentro,MUSICAL FAMA,107,29/09/2025,55.6
plaza kentro,MONZANI,108,29/09/2025,250.54
plaza kentro,INMOBILIARIA JPAZ,109,29/09/2025,33.93
plaza kentro,GRUPO PEDIATRICO DE PUEBLA SC,110,29/09/2025,48.65
plaza kentro,IDEAS EKA,111,29/09/2025,38.15
plaza kentro,LUIS MANUEL ORTIZ,112,29/09/2025,336.8
plaza kentro,,113,29/09/2025,8.42
plaza kentro,COSMETICOS,114,29/09/2025,49.17
plaza kentro,KEIKO KATAGIRI KATAGIRI,115,29/09/2025,43.9
plaza kentro,ELECTRONICA,116,29/09/2025,31.25
plaza kentro,EMI LEE,117,29/09/2025,498.99
plaza kentro,ESTETICA VIA 33,118,29/09/2025,1873.36
plaza kentro,ESTETICA VIA 33,119,29/09/2025,69.28
plaza kentro,JERICO AVALOS GRANIEL,120,29/09/2025,12.85
plaza kentro,GRACIELA MARQUEZ SANTAMARIA,122,29/09/2025,93.38
plaza kentro,OFICINA DE VENTAS,123,29/09/2025,105.54
plaza kentro,,125,29/09/2025,2.98
plaza kentro,LUIS JORGE GALAN,129,29/09/2025,51.48
plaza kentro,SPA INFANTIL,209,29/09/2025,213.35
plaza kentro,BARBERIA,210,29/09/2025,30.04
plaza kentro,ALBERTO ESCOBAR,211,29/09/2025,766.52
plaza kentro,FELIPE PALACIOS,212,29/09/2025,4.81
plaza kentro,,213,29/09/2025,4.57
plaza kentro,MARIA FERNANDA GARCIA OLIVARES,214,29/09/2025,103.87
plaza kentro,SUNPOWER CAPITAL SAP SA DE CV,215,29/09/2025,19.91
plaza kentro,DENTISTA,216,29/09/2025,10.88
